TRAINING RESULTS
==================================================

Final Metrics:
  Final Train Loss:     0.3044
  Final Val Loss:       0.3605
  Final Train IoU:      0.5559
  Final Val IoU:        0.5043
  Final Train Dice:     0.6930
  Final Val Dice:       0.7026
  Final Train Accuracy: 0.8102
  Final Val Accuracy:   0.8125
==================================================

Best Results:
  Best Val IoU:      0.5046 (Epoch 46)
  Best Val Dice:     0.7027 (Epoch 46)
  Best Val Accuracy: 0.8129 (Epoch 45)
  Lowest Val Loss:   0.3603 (Epoch 48)
==================================================

Per-Epoch History:
----------------------------------------------------------------------------------------------------
Epoch    Train Loss   Val Loss     Train IoU    Val IoU      Train Dice   Val Dice     Train Acc    Val Acc     
----------------------------------------------------------------------------------------------------
1        0.6837       0.5461       0.3857       0.3533       0.5062       0.5134       0.7420       0.7610      
2        0.4919       0.4621       0.4525       0.4012       0.5837       0.5975       0.7758       0.7807      
3        0.4358       0.4396       0.4824       0.4317       0.6145       0.6294       0.8027       0.8059      
4        0.4068       0.4274       0.4865       0.4258       0.6229       0.6256       0.7872       0.7903      
5        0.3936       0.4237       0.4846       0.4306       0.6219       0.6353       0.7777       0.7812      
6        0.3837       0.4164       0.4959       0.4395       0.6328       0.6404       0.7879       0.7902      
7        0.3747       0.4099       0.4961       0.4412       0.6334       0.6452       0.7800       0.7817      
8        0.3657       0.4087       0.4953       0.4443       0.6353       0.6501       0.7836       0.7872      
9        0.3592       0.4050       0.5129       0.4591       0.6492       0.6583       0.8041       0.8080      
10       0.3568       0.4033       0.5085       0.4551       0.6485       0.6595       0.7903       0.7940      
11       0.3530       0.4035       0.5103       0.4532       0.6479       0.6543       0.7943       0.7994      
12       0.3522       0.3977       0.5123       0.4542       0.6505       0.6601       0.7916       0.7912      
13       0.3496       0.3934       0.5161       0.4663       0.6541       0.6689       0.7953       0.7979      
14       0.3464       0.3909       0.5214       0.4663       0.6589       0.6671       0.7988       0.8011      
15       0.3412       0.3912       0.5184       0.4645       0.6559       0.6664       0.7954       0.7969      
16       0.3396       0.3889       0.5267       0.4674       0.6633       0.6646       0.8045       0.8061      
17       0.3390       0.3880       0.5240       0.4738       0.6619       0.6776       0.8000       0.8018      
18       0.3350       0.3857       0.5224       0.4747       0.6597       0.6773       0.7991       0.8026      
19       0.3353       0.3834       0.5266       0.4726       0.6651       0.6737       0.7995       0.8021      
20       0.3312       0.3960       0.5154       0.4606       0.6571       0.6607       0.7949       0.7990      
21       0.3341       0.3908       0.5262       0.4737       0.6655       0.6778       0.7989       0.8011      
22       0.3288       0.3803       0.5312       0.4754       0.6701       0.6760       0.7960       0.7990      
23       0.3279       0.3777       0.5283       0.4749       0.6666       0.6770       0.7942       0.7963      
24       0.3244       0.3780       0.5316       0.4793       0.6699       0.6823       0.7997       0.8004      
25       0.3254       0.3756       0.5310       0.4808       0.6688       0.6823       0.7951       0.7978      
26       0.3229       0.3747       0.5397       0.4878       0.6779       0.6879       0.8065       0.8078      
27       0.3202       0.3744       0.5347       0.4807       0.6735       0.6819       0.7999       0.8016      
28       0.3192       0.3748       0.5401       0.4800       0.6787       0.6756       0.8083       0.8113      
29       0.3190       0.3723       0.5379       0.4869       0.6775       0.6869       0.8039       0.8062      
30       0.3175       0.3703       0.5446       0.4941       0.6817       0.6938       0.8098       0.8121      
31       0.3158       0.3705       0.5436       0.4925       0.6803       0.6922       0.8054       0.8085      
32       0.3140       0.3702       0.5416       0.4903       0.6798       0.6916       0.8058       0.8088      
33       0.3151       0.3680       0.5459       0.4942       0.6834       0.6936       0.8070       0.8093      
34       0.3128       0.3676       0.5485       0.4946       0.6851       0.6922       0.8090       0.8108      
35       0.3123       0.3660       0.5484       0.4946       0.6853       0.6922       0.8068       0.8086      
36       0.3125       0.3655       0.5506       0.5007       0.6876       0.7000       0.8100       0.8126      
37       0.3100       0.3646       0.5505       0.4995       0.6879       0.6990       0.8072       0.8103      
38       0.3091       0.3640       0.5524       0.5008       0.6900       0.6997       0.8092       0.8110      
39       0.3097       0.3635       0.5499       0.4993       0.6875       0.6987       0.8063       0.8087      
40       0.3072       0.3624       0.5528       0.5023       0.6891       0.7016       0.8097       0.8119      
41       0.3068       0.3623       0.5527       0.5002       0.6893       0.6993       0.8065       0.8088      
42       0.3072       0.3624       0.5531       0.5021       0.6898       0.7010       0.8085       0.8103      
43       0.3062       0.3616       0.5539       0.5013       0.6916       0.6992       0.8100       0.8121      
44       0.3045       0.3614       0.5538       0.5020       0.6912       0.7002       0.8085       0.8112      
45       0.3055       0.3612       0.5566       0.5043       0.6936       0.7027       0.8107       0.8129      
46       0.3042       0.3607       0.5548       0.5046       0.6912       0.7027       0.8108       0.8128      
47       0.3042       0.3608       0.5528       0.5017       0.6900       0.7007       0.8080       0.8100      
48       0.3056       0.3603       0.5550       0.5029       0.6936       0.7016       0.8080       0.8103      
49       0.3056       0.3604       0.5547       0.5031       0.6912       0.7016       0.8091       0.8111      
50       0.3044       0.3605       0.5559       0.5043       0.6930       0.7026       0.8102       0.8125      
